acc_x,acc_y,acc_z,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dt
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.01
0.0209005,0.0978957,-0.0494568,3.50095e-07,1.64254e-06,2.0,0.000104853,0.000491668,-0.000248188,0.01
0.0413815,0.193175,-0.0978323,2.78674e-06,1.30529e-05,1.99999,0.000416611,0.00194919,-0.000985532,0.01
0.061446,0.28586,-0.145134,9.35807e-06,4.3759e-05,1.99998,0.000931095,0.00434652,-0.00220125,0.01
0.0810967,0.375973,-0.191369,2.20706e-05,0.00010303,1.99995,0.00164415,0.00765782,-0.00388466,0.01
0.100336,0.463535,-0.236546,4.28893e-05,0.000199877,1.9999,0.00255166,0.0118575,-0.00602512,0.01
0.119168,0.548569,-0.280672,7.37382e-05,0.000343056,1.99983,0.00364952,0.0169201,-0.00861208,0.01
0.137594,0.631096,-0.323754,0.000116501,0.000541071,1.99972,0.00493367,0.0228205,-0.0116351,0.01
0.155618,0.711139,-0.3658,0.000173019,0.000802175,1.99959,0.00640006,0.0295337,-0.0150837,0.01
0.173242,0.788719,-0.406818,0.000245096,0.00113437,1.99942,0.0080447,0.0370351,-0.0189477,0.01
0.190469,0.863858,-0.446815,0.000334494,0.00154542,1.99921,0.00986358,0.0453,-0.0232167,0.01
0.207302,0.936579,-0.485798,0.000442935,0.00204284,1.99896,0.0118528,0.0543042,-0.0278806,0.01
0.223744,1.0069,-0.523776,0.000572104,0.00263389,1.99865,0.0140083,0.0640236,-0.0329293,0.01
0.239797,1.07485,-0.560755,0.000723643,0.00332561,1.9983,0.0163263,0.0744343,-0.0383528,0.01
0.255465,1.14045,-0.596744,0.000899159,0.0041248,1.99788,0.018803,0.0855127,-0.0441411,0.01
0.27075,1.20371,-0.63175,0.00110022,0.00503801,1.99741,0.0214344,0.0972355,-0.0502844,0.01
0.285655,1.26467,-0.66578,0.00132835,0.00607158,1.99688,0.0242167,0.109579,-0.0567728,0.01
0.300183,1.32334,-0.698842,0.00158504,0.00723159,1.99628,0.0271462,0.122521,-0.0635968,0.01
0.314336,1.37974,-0.730944,0.00187175,0.00852392,1.9956,0.0302191,0.136038,-0.0707465,0.01
0.328118,1.4339,-0.762093,0.00218989,0.00995421,1.99486,0.0334317,0.150109,-0.0782125,0.01
0.341531,1.48584,-0.792296,0.00254084,0.0115279,1.99404,0.0367802,0.164709,-0.0859852,0.01
0.354578,1.53558,-0.821562,0.00292594,0.0132501,1.99314,0.0402611,0.179818,-0.0940553,0.01
0.367262,1.58315,-0.849897,0.00334649,0.0151258,1.99216,0.0438706,0.195414,-0.102413,0.01
0.379586,1.62855,-0.87731,0.00380377,0.0171599,1.99109,0.0476051,0.211474,-0.11105,0.01
0.391552,1.67183,-0.903808,0.004299,0.0193568,1.98994,0.0514611,0.227977,-0.119956,0.01
0.403164,1.71299,-0.929398,0.00483338,0.0217209,1.98869,0.055435,0.244903,-0.129123,0.01
0.414423,1.75206,-0.954088,0.00540808,0.0242562,1.98735,0.0595232,0.26223,-0.138541,0.01
0.425334,1.78907,-0.977886,0.00602422,0.0269667,1.98592,0.0637223,0.279938,-0.148202,0.01
0.435898,1.82403,-1.0008,0.00668288,0.0298562,1.98439,0.0680287,0.298005,-0.158096,0.01
0.44612,1.85697,-1.02283,0.00738514,0.032928,1.98276,0.0724391,0.316412,-0.168215,0.01
0.456,1.8879,-1.044,0.008132,0.0361855,1.98102,0.07695,0.335138,-0.17855,0.01
0.465543,1.91685,-1.0643,0.00892446,0.0396317,1.97918,0.081558,0.354163,-0.189092,0.01
0.47475,1.94385,-1.08375,0.00976347,0.0432696,1.97724,0.0862597,0.373468,-0.199833,0.01
0.483626,1.96891,-1.10235,0.01065,0.0471019,1.97519,0.0910519,0.393034,-0.210764,0.01
0.492172,1.99206,-1.12012,0.0115848,0.0511311,1.97302,0.0959312,0.41284,-0.221878,0.01
0.500392,2.01332,-1.13705,0.0125689,0.0553595,1.97075,0.100894,0.432868,-0.233164,0.01
0.508288,2.0327,-1.15315,0.013603,0.0597892,1.96836,0.105938,0.4531,-0.244616,0.01
0.515863,2.05024,-1.16844,0.0146879,0.0644221,1.96586,0.111059,0.473516,-0.256224,0.01
0.52312,2.06595,-1.18292,0.0158244,0.06926,1.96323,0.116254,0.494099,-0.267982,0.01
0.530062,2.07986,-1.1966,0.0170132,0.0743046,1.9605,0.12152,0.514829,-0.27988,0.01
0.536691,2.09198,-1.20948,0.018255,0.0795571,1.95764,0.126854,0.53569,-0.291911,0.01
0.543011,2.10234,-1.22158,0.0195505,0.0850187,1.95466,0.132253,0.556663,-0.304067,0.01
0.549024,2.11097,-1.2329,0.0209003,0.0906906,1.95156,0.137714,0.577731,-0.31634,0.01
0.554733,2.11788,-1.24344,0.022305,0.0965736,1.94833,0.143233,0.598877,-0.328722,0.01
0.560141,2.12309,-1.25322,0.0237651,0.102668,1.94498,0.148807,0.620083,-0.341206,0.01
0.56525,2.12664,-1.26225,0.0252813,0.108975,1.94151,0.154434,0.641333,-0.353784,0.01
0.570064,2.12853,-1.27053,0.026854,0.115495,1.9379,0.160111,0.66261,-0.366449,0.01
0.574585,2.12879,-1.27806,0.0284837,0.122228,1.93418,0.165835,0.683898,-0.379192,0.01
0.578816,2.12745,-1.28486,0.0301708,0.129173,1.93032,0.171602,0.705181,-0.392008,0.01
0.58276,2.12452,-1.29094,0.0319158,0.136331,1.92634,0.17741,0.726442,-0.404887,0.01
0.58642,2.12003,-1.2963,0.0337191,0.143702,1.92222,0.183256,0.747666,-0.417824,0.01
0.589798,2.114,-1.30094,0.0355811,0.151284,1.91798,0.189137,0.768837,-0.430811,0.01
0.592898,2.10645,-1.30488,0.037502,0.159078,1.91361,0.195051,0.789941,-0.443841,0.01
0.595721,2.0974,-1.30813,0.0394822,0.167083,1.9091,0.200995,0.810961,-0.456906,0.01
0.598272,2.08688,-1.31069,0.041522,0.175297,1.90447,0.206965,0.831884,-0.470001,0.01
0.600552,2.0749,-1.31256,0.0436216,0.18372,1.8997,0.212959,0.852694,-0.483118,0.01
0.602566,2.0615,-1.31377,0.0457812,0.192351,1.89481,0.218975,0.873377,-0.49625,0.01
0.604314,2.04668,-1.31431,0.0480011,0.201187,1.88978,0.225009,0.893919,-0.509391,0.01
0.605801,2.03048,-1.31419,0.0502815,0.210229,1.88462,0.23106,0.914306,-0.522534,0.01
0.607028,2.01291,-1.31341,0.0526224,0.219473,1.87933,0.237125,0.934524,-0.535672,0.01
0.608,1.994,-1.312,0.055024,0.228918,1.8739,0.2432,0.95456,-0.5488,0.01
0.608718,1.97377,-1.30995,0.0574864,0.238563,1.86835,0.249284,0.9744,-0.56191,0.01
0.609186,1.95224,-1.30727,0.0600097,0.248406,1.86267,0.255374,0.994031,-0.574997,0.01
0.609406,1.92943,-1.30397,0.0625939,0.258443,1.85685,0.261467,1.01344,-0.588054,0.01
0.609381,1.90536,-1.30006,0.065239,0.268674,1.8509,0.267561,1.03262,-0.601074,0.01
0.609114,1.88006,-1.29555,0.0679451,0.279095,1.84483,0.273654,1.05154,-0.614053,0.01
0.608608,1.85355,-1.29043,0.0707121,0.289704,1.83862,0.279742,1.07021,-0.626983,0.01
0.607865,1.82585,-1.28473,0.0735399,0.300498,1.83229,0.285825,1.08861,-0.63986,0.01
0.606889,1.79699,-1.27844,0.0764286,0.311475,1.82583,0.291899,1.10673,-0.652676,0.01
0.605682,1.76697,-1.27158,0.0793779,0.322632,1.81924,0.297962,1.12455,-0.665426,0.01
0.604247,1.73584,-1.26415,0.0823878,0.333965,1.81252,0.304012,1.14206,-0.678106,0.01
0.602587,1.7036,-1.25616,0.0854581,0.345472,1.80567,0.310046,1.15926,-0.690708,0.01
0.600704,1.67028,-1.24762,0.0885886,0.357149,1.7987,0.316063,1.17613,-0.703227,0.01
0.598602,1.6359,-1.23853,0.0917792,0.368993,1.79161,0.322059,1.19266,-0.715658,0.01
0.596283,1.60049,-1.2289,0.0950297,0.381001,1.78439,0.328034,1.20884,-0.727996,0.01
0.59375,1.56406,-1.21875,0.0983398,0.393169,1.77705,0.333984,1.22467,-0.740234,0.01
0.591006,1.52664,-1.20807,0.101709,0.405493,1.76959,0.339908,1.24012,-0.752369,0.01
0.588054,1.48825,-1.19688,0.105138,0.41797,1.762,0.345804,1.2552,-0.764394,0.01
0.584896,1.44892,-1.18518,0.108625,0.430596,1.7543,0.351669,1.26988,-0.776305,0.01
0.581536,1.40865,-1.17299,0.112171,0.443366,1.74648,0.357501,1.28417,-0.788096,0.01
0.577975,1.36749,-1.1603,0.115775,0.456278,1.73854,0.363299,1.29805,-0.799763,0.01
0.574218,1.32544,-1.14712,0.119437,0.469326,1.73048,0.36906,1.31152,-0.8113,0.01
0.570266,1.28253,-1.13347,0.123156,0.482507,1.72231,0.374782,1.32456,-0.822704,0.01
0.566124,1.23878,-1.11935,0.126933,0.495816,1.71403,0.380465,1.33717,-0.833968,0.01
0.561792,1.19421,-1.10477,0.130765,0.509249,1.70563,0.386104,1.34933,-0.845089,0.01
0.557275,1.14885,-1.08973,0.134654,0.522801,1.69713,0.3917,1.36105,-0.856062,0.01
0.552574,1.10272,-1.07425,0.138599,0.536468,1.68851,0.397249,1.37231,-0.866882,0.01
0.547694,1.05583,-1.05833,0.142599,0.550246,1.67979,0.402751,1.3831,-0.877546,0.01
0.542636,1.00822,-1.04197,0.146654,0.564129,1.67096,0.408202,1.39342,-0.888048,0.01
0.537404,0.959904,-1.02519,0.150763,0.578113,1.66203,0.413603,1.40326,-0.898384,0.01
0.532,0.9109,-1.008,0.154926,0.592192,1.653,0.41895,1.41262,-0.90855,0.01
0.526427,0.861233,-0.990397,0.159142,0.606363,1.64386,0.424242,1.42148,-0.918542,0.01
0.520688,0.810926,-0.972392,0.163411,0.62062,1.63463,0.429478,1.42984,-0.928357,0.01
0.514786,0.759999,-0.953994,0.167731,0.634958,1.62529,0.434655,1.4377,-0.937989,0.01
0.508723,0.708475,-0.935209,0.172104,0.649372,1.61587,0.439773,1.44504,-0.947435,0.01
0.502503,0.656377,-0.916046,0.176527,0.663857,1.60635,0.444829,1.45186,-0.956692,0.01
0.496128,0.603725,-0.896512,0.181,0.678408,1.59673,0.449823,1.45816,-0.965755,0.01
0.489601,0.550542,-0.876614,0.185523,0.693019,1.58703,0.454751,1.46394,-0.974621,0.01
0.482925,0.496849,-0.85636,0.190095,0.707685,1.57724,0.459614,1.46917,-0.983286,0.01
0.476102,0.44267,-0.835758,0.194715,0.722401,1.56737,0.464409,1.47387,-0.991747,0.01
0.469136,0.388025,-0.814815,0.199383,0.73716,1.55741,0.469136,1.47802,-1.0,0.01
0.462029,0.332936,-0.793538,0.204097,0.751959,1.54737,0.473792,1.48163,-1.00804,0.01
0.454784,0.277426,-0.771936,0.208858,0.766791,1.53725,0.478376,1.48468,-1.01587,0.01
0.447404,0.221517,-0.750015,0.213665,0.781651,1.52705,0.482887,1.48718,-1.02348,0.01
0.439892,0.16523,-0.727784,0.218516,0.796533,1.51678,0.487324,1.48911,-1.03087,0.01
0.43225,0.108587,-0.70525,0.223411,0.811431,1.50643,0.491684,1.49048,-1.03803,0.01
0.424482,0.0516113,-0.68242,0.228349,0.826341,1.49602,0.495968,1.49128,-1.04497,0.01
0.416589,-0.00567668,-0.659302,0.23333,0.841255,1.48554,0.500174,1.49151,-1.05168,0.01
0.408576,-0.0632544,-0.635904,0.238352,0.856169,1.47499,0.5043,1.49117,-1.05816,0.01
0.400444,-0.1211,-0.612233,0.243416,0.871076,1.46437,0.508345,1.49025,-1.0644,0.01
0.392198,-0.179191,-0.588296,0.248519,0.885972,1.4537,0.512308,1.48874,-1.0704,0.01
0.383838,-0.237507,-0.564102,0.253662,0.900849,1.44297,0.516188,1.48666,-1.07616,0.01
0.375369,-0.296024,-0.539657,0.258843,0.915703,1.43218,0.519984,1.48399,-1.08168,0.01
0.366792,-0.354721,-0.51497,0.264061,0.930527,1.42133,0.523695,1.48074,-1.08696,0.01
0.358112,-0.413577,-0.490048,0.269316,0.945316,1.41044,0.52732,1.4769,-1.09198,0.01
0.34933,-0.472568,-0.464898,0.274607,0.960063,1.39949,0.530857,1.47247,-1.09676,0.01
0.34045,-0.531674,-0.439528,0.279933,0.974763,1.3885,0.534306,1.46745,-1.10128,0.01
0.331474,-0.590872,-0.413946,0.285293,0.98941,1.37747,0.537666,1.46183,-1.10555,0.01
0.322405,-0.65014,-0.388159,0.290686,1.004,1.36639,0.540935,1.45563,-1.10956,0.01
0.313246,-0.709457,-0.362174,0.296111,1.01852,1.35528,0.544114,1.44883,-1.11331,0.01
0.304,-0.7688,-0.336,0.301568,1.03297,1.34413,0.5472,1.44144,-1.1168,0.01
0.294669,-0.828147,-0.309643,0.307055,1.04735,1.33294,0.550193,1.43346,-1.12003,0.01
0.285257,-0.887477,-0.283112,0.312572,1.06164,1.32173,0.553093,1.42488,-1.12299,0.01
