acc_x,acc_y,acc_z,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dt
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.01
0.0220005,0.0978957,-0.0472568,3.68521e-07,1.64254e-06,2.0,0.000110372,0.000491668,-0.000237151,0.01
0.0435595,0.193175,-0.0934763,2.93341e-06,1.30529e-05,1.99999,0.000438538,0.00194919,-0.000941678,0.01
0.06468,0.28586,-0.138666,9.8506e-06,4.3759e-05,1.99998,0.0009801,0.00434652,-0.00210324,0.01
0.0853649,0.375973,-0.182833,2.32322e-05,0.00010303,1.99995,0.00173069,0.00765782,-0.00371159,0.01
0.105617,0.463535,-0.225985,4.51466e-05,0.000199877,1.9999,0.00268596,0.0118575,-0.00575652,0.01
0.12544,0.548569,-0.268128,7.76192e-05,0.000343056,1.99983,0.0038416,0.0169201,-0.00822792,0.01
0.144836,0.631096,-0.309271,0.000122632,0.000541071,1.99974,0.00519333,0.0228205,-0.0111157,0.01
0.163808,0.711139,-0.349419,0.000182125,0.000802175,1.99961,0.00673691,0.0295337,-0.01441,0.01
0.18236,0.788719,-0.388582,0.000257996,0.00113437,1.99945,0.0084681,0.0370351,-0.0181008,0.01
0.200494,0.863858,-0.426765,0.000352099,0.00154542,1.99925,0.0103827,0.0453,-0.0221784,0.01
0.218213,0.936579,-0.463977,0.000466248,0.00204284,1.999,0.0124766,0.0543042,-0.0266329,0.01
0.23552,1.0069,-0.500224,0.000602214,0.00263389,1.99871,0.0147456,0.0640236,-0.0314547,0.01
0.252418,1.07485,-0.535514,0.00076173,0.00332561,1.99837,0.0171856,0.0744343,-0.0366342,0.01
0.268911,1.14045,-0.569853,0.000946484,0.0041248,1.99798,0.0197926,0.0855127,-0.0421618,0.01
0.285,1.20371,-0.60325,0.00115812,0.00503801,1.99753,0.0225625,0.0972355,-0.0480281,0.01
0.300689,1.26467,-0.635711,0.00139826,0.00607158,1.99702,0.0254913,0.109579,-0.0542237,0.01
0.315982,1.32334,-0.667244,0.00166847,0.00723159,1.99644,0.028575,0.122521,-0.0607393,0.01
0.33088,1.37974,-0.697856,0.00197027,0.00852392,1.9958,0.0318096,0.136038,-0.0675655,0.01
0.345387,1.4339,-0.727554,0.00230515,0.00995421,1.99509,0.0351913,0.150109,-0.0746933,0.01
0.359506,1.48584,-0.756346,0.00267457,0.0115279,1.99431,0.038716,0.164709,-0.0821136,0.01
0.37324,1.53558,-0.784238,0.00307993,0.0132501,1.99345,0.0423801,0.179818,-0.0898172,0.01
0.386592,1.58315,-0.811238,0.00352262,0.0151258,1.99251,0.0461796,0.195414,-0.0977954,0.01
0.399564,1.62855,-0.837354,0.00400396,0.0171599,1.99149,0.0501107,0.211474,-0.106039,0.01
0.41216,1.67183,-0.862592,0.00452526,0.0193568,1.99039,0.0541696,0.227977,-0.11454,0.01
0.424383,1.71299,-0.88696,0.00508777,0.0217209,1.9892,0.0583526,0.244903,-0.123288,0.01
0.436235,1.75206,-0.910465,0.00569271,0.0242562,1.98792,0.062656,0.26223,-0.132276,0.01
0.44772,1.78907,-0.933114,0.00634128,0.0269667,1.98655,0.0670761,0.279938,-0.141494,0.01
0.45884,1.82403,-0.954915,0.00703461,0.0298562,1.98509,0.0716092,0.298005,-0.150935,0.01
0.4696,1.85697,-0.975874,0.00777383,0.032928,1.98353,0.0762517,0.316412,-0.16059,0.01
0.48,1.8879,-0.996,0.00856,0.0361855,1.98188,0.081,0.335138,-0.17045,0.01
0.490045,1.91685,-1.0153,0.00939417,0.0396317,1.98012,0.0858505,0.354163,-0.180507,0.01
0.499737,1.94385,-1.03378,0.0102773,0.0432696,1.97827,0.0907997,0.373468,-0.190753,0.01
0.50908,1.96891,-1.05145,0.0112105,0.0471019,1.97631,0.0958441,0.393034,-0.20118,0.01
0.518076,1.99206,-1.06831,0.0121945,0.0511311,1.97424,0.10098,0.41284,-0.211779,0.01
0.526728,2.01332,-1.08437,0.0132304,0.0553595,1.97207,0.106204,0.432868,-0.222544,0.01
0.53504,2.0327,-1.09965,0.0143189,0.0597892,1.96979,0.111514,0.4531,-0.233464,0.01
0.543014,2.05024,-1.11414,0.0154609,0.0644221,1.9674,0.116904,0.473516,-0.244534,0.01
0.550653,2.06595,-1.12786,0.0166572,0.06926,1.9649,0.122373,0.494099,-0.255745,0.01
0.55796,2.07986,-1.1408,0.0179086,0.0743046,1.96229,0.127916,0.514829,-0.267088,0.01
0.564938,2.09198,-1.15299,0.0192158,0.0795571,1.95956,0.133531,0.53569,-0.278558,0.01
0.571591,2.10234,-1.16442,0.0205795,0.0850187,1.95671,0.139214,0.556663,-0.290146,0.01
0.57792,2.11097,-1.1751,0.0220003,0.0906906,1.95376,0.144962,0.577731,-0.301844,0.01
0.583929,2.11788,-1.18505,0.0234789,0.0965736,1.95068,0.150771,0.598877,-0.313645,0.01
0.589622,2.12309,-1.19426,0.0250159,0.102668,1.94748,0.156639,0.620083,-0.325542,0.01
0.595,2.12664,-1.20275,0.0266119,0.108975,1.94417,0.162563,0.641333,-0.337528,0.01
0.600067,2.12853,-1.21052,0.0282673,0.115495,1.94073,0.168538,0.66261,-0.349595,0.01
0.604826,2.12879,-1.21758,0.0299828,0.122228,1.93717,0.174563,0.683898,-0.361736,0.01
0.60928,2.12745,-1.22394,0.0317587,0.129173,1.9335,0.180634,0.705181,-0.373944,0.01
0.613432,2.12452,-1.2296,0.0335956,0.136331,1.9297,0.186747,0.726442,-0.386213,0.01
0.617284,2.12003,-1.23457,0.0354938,0.143702,1.92577,0.192901,0.747666,-0.398534,0.01
0.62084,2.114,-1.23886,0.0374538,0.151284,1.92172,0.199092,0.768837,-0.410902,0.01
