acc_x,acc_y,acc_z,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dt
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.01
0.0214505,0.0962456,-0.0478068,3.59308e-07,1.61491e-06,2.0,0.000107612,0.00048339,-0.00023991,0.01
0.0424705,0.189908,-0.0945653,2.86008e-06,1.28328e-05,1.99999,0.000427575,0.0019163,-0.000952641,0.01
0.063063,0.281009,-0.140283,9.60433e-06,4.30202e-05,1.99998,0.000955597,0.00427301,-0.00212775,0.01
0.0832308,0.36957,-0.184967,2.26514e-05,0.000101287,1.99995,0.00168742,0.00752802,-0.00375486,0.01
0.102977,0.455614,-0.228625,4.40179e-05,0.000196491,1.9999,0.00261881,0.011656,-0.00582367,0.01
0.122304,0.539161,-0.271264,7.56787e-05,0.000337234,1.99983,0.00374556,0.016632,-0.00832396,0.01
0.141215,0.620233,-0.312891,0.000119566,0.000531874,1.99973,0.0050635,0.022431,-0.0112456,0.01
0.159713,0.698853,-0.353515,0.000177572,0.000788516,1.99961,0.00656849,0.0290285,-0.0145784,0.01
0.177801,0.775042,-0.393141,0.000251546,0.00111502,1.99944,0.0082564,0.0364,-0.0183125,0.01
0.195481,0.848821,-0.431778,0.000343296,0.00151901,1.99924,0.0101231,0.0445213,-0.022438,0.01
0.212758,0.920213,-0.469432,0.000454591,0.00200787,1.99899,0.0121647,0.0533684,-0.0269448,0.01
0.229632,0.989238,-0.506112,0.000587159,0.00258872,1.9987,0.014377,0.0629176,-0.0318234,0.01
0.246108,1.05592,-0.541824,0.000742686,0.00326848,1.99835,0.016756,0.0731454,-0.0370638,0.01
0.262188,1.12028,-0.576576,0.000922821,0.00405381,1.99796,0.0192978,0.0840283,-0.0426566,0.01
0.277875,1.18234,-0.610375,0.00112917,0.00495115,1.9975,0.0219984,0.0955433,-0.0485922,0.01
0.293172,1.24212,-0.643228,0.00136331,0.00596671,1.99698,0.024854,0.107667,-0.054861,0.01
0.308082,1.29964,-0.675144,0.00162676,0.00710646,1.9964,0.0278606,0.120378,-0.0614536,0.01
0.322608,1.35493,-0.706128,0.00192101,0.00837615,1.99575,0.0310144,0.133653,-0.0683608,0.01
0.336752,1.408,-0.736189,0.00224752,0.00978132,1.99503,0.0343115,0.147469,-0.0755731,0.01
0.350519,1.45888,-0.765333,0.0026077,0.0113273,1.99424,0.0377481,0.161805,-0.0830815,0.01
0.363909,1.50759,-0.793569,0.00300294,0.0130191,1.99337,0.0413206,0.17664,-0.0908767,0.01
0.376927,1.55415,-0.820903,0.00343456,0.0148616,1.99242,0.0450251,0.19195,-0.0989499,0.01
0.389575,1.59859,-0.847343,0.00390387,0.0168596,1.99139,0.0488579,0.207716,-0.107292,0.01
0.401856,1.64092,-0.872896,0.00441213,0.0190174,1.99027,0.0528154,0.223915,-0.115894,0.01
0.413773,1.68116,-0.897569,0.00496058,0.0213393,1.98907,0.0568938,0.240527,-0.124747,0.01
0.425329,1.71935,-0.921371,0.0055504,0.0238292,1.98778,0.0610896,0.257531,-0.133842,0.01
0.436527,1.75549,-0.944307,0.00618275,0.0264911,1.98639,0.0653992,0.274907,-0.143171,0.01
0.447369,1.78962,-0.966386,0.00685875,0.0293286,1.98491,0.069819,0.292634,-0.152726,0.01
0.45786,1.82175,-0.987614,0.00757948,0.0323449,1.98334,0.0743454,0.310693,-0.162496,0.01
0.468,1.8519,-1.008,0.008346,0.0355435,1.98166,0.078975,0.329063,-0.172475,0.01
0.477794,1.8801,-1.02755,0.00915931,0.0389271,1.97989,0.0837043,0.347724,-0.182653,0.01
0.487244,1.90637,-1.04627,0.0100204,0.0424988,1.97801,0.0885297,0.366658,-0.193023,0.01
0.496353,1.93073,-1.06417,0.0109302,0.0462612,1.97603,0.093448,0.385845,-0.203576,0.01
0.505124,1.9532,-1.08126,0.0118897,0.0502165,1.97394,0.0984557,0.405266,-0.214304,0.01
0.51356,1.97381,-1.09754,0.0128996,0.0543672,1.97174,0.103549,0.424903,-0.225199,0.01
0.521664,1.99257,-1.11302,0.0139609,0.0587152,1.96943,0.108726,0.444737,-0.236252,0.01
0.529438,2.00951,-1.12771,0.0150744,0.0632625,1.96702,0.113982,0.464748,-0.247457,0.01
0.536887,2.02465,-1.14162,0.0162408,0.0680107,1.96448,0.119313,0.484921,-0.258804,0.01
0.544011,2.03801,-1.15475,0.0174609,0.0729614,1.96184,0.124718,0.505236,-0.270286,0.01
0.550815,2.04961,-1.16711,0.0187354,0.0781159,1.95908,0.130193,0.525675,-0.281896,0.01
0.557301,2.05948,-1.17871,0.020065,0.0834753,1.9562,0.135733,0.546222,-0.293626,0.01
0.563472,2.06763,-1.18955,0.0214503,0.0890406,1.95321,0.141338,0.566859,-0.305468,0.01
