acc_x,acc_y,acc_z,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dt
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.01
0.0231005,0.0962456,-0.0489068,3.86947e-07,1.61491e-06,2.0,0.00011589,0.00048339,-0.000245429,0.01
0.0457375,0.189908,-0.0967433,3.08008e-06,1.28328e-05,1.99999,0.000460465,0.0019163,-0.000974568,0.01
0.067914,0.281009,-0.143517,1.03431e-05,4.30202e-05,1.99998,0.00102911,0.00427301,-0.00217675,0.01
0.0896332,0.36957,-0.189235,2.43938e-05,0.000101287,1.99995,0.00181722,0.00752802,-0.00384139,0.01
0.110898,0.455614,-0.233906,4.74039e-05,0.000196491,1.9999,0.00282025,0.011656,-0.00595797,0.01
0.131712,0.539161,-0.277536,8.15002e-05,0.000337234,1.99983,0.00403368,0.016632,-0.00851604,0.01
0.152078,0.620233,-0.320133,0.000128764,0.000531874,1.99973,0.005453,0.022431,-0.0115052,0.01
0.171999,0.698853,-0.361705,0.000191232,0.000788516,1.9996,0.00707375,0.0290285,-0.0149153,0.01
0.191478,0.775042,-0.402259,0.000270896,0.00111502,1.99943,0.00889151,0.0364,-0.018736,0.01
0.210519,0.848821,-0.441802,0.000369704,0.00151901,1.99922,0.0109019,0.0445213,-0.0229571,0.01
0.229123,0.920213,-0.480343,0.00048956,0.00200787,1.99897,0.0131004,0.0533684,-0.0275687,0.01
0.247296,0.989238,-0.517888,0.000632325,0.00258872,1.99867,0.0154829,0.0629176,-0.0325606,0.01
0.265039,1.05592,-0.554445,0.000799816,0.00326848,1.99832,0.0180449,0.0731454,-0.0379231,0.01
0.282356,1.12028,-0.590022,0.000993808,0.00405381,1.99791,0.0207822,0.0840283,-0.0436463,0.01
0.29925,1.18234,-0.624625,0.00121603,0.00495115,1.99744,0.0236906,0.0955433,-0.0497203,0.01
0.315724,1.24212,-0.658263,0.00146818,0.00596671,1.99691,0.0267658,0.107667,-0.0561356,0.01
0.331781,1.29964,-0.690943,0.00175189,0.00710646,1.99632,0.0300037,0.120378,-0.0628824,0.01
0.347424,1.35493,-0.722672,0.00206878,0.00837615,1.99565,0.0334001,0.133653,-0.0699512,0.01
0.362657,1.408,-0.753458,0.00242041,0.00978132,1.99492,0.0369508,0.147469,-0.0773327,0.01
0.377481,1.45888,-0.783309,0.0028083,0.0113273,1.99411,0.0406519,0.161805,-0.0850173,0.01
0.391902,1.50759,-0.812231,0.00323393,0.0130191,1.99322,0.0444991,0.17664,-0.0929958,0.01
