acc_x,acc_y,acc_z,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dt
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.01
0.0220005,0.0967956,-0.0483568,3.68521e-07,1.62412e-06,2.0,0.000110372,0.000486149,-0.00024267,0.01
0.0435595,0.190997,-0.0956543,2.93341e-06,1.29062e-05,1.99999,0.000438538,0.00192727,-0.000963605,0.01
0.06468,0.282626,-0.1419,9.8506e-06,4.32665e-05,1.99998,0.0009801,0.00429752,-0.00215225,0.01
0.0853649,0.371705,-0.187101,2.32322e-05,0.000101868,1.99995,0.00173069,0.00757129,-0.00379812,0.01
0.105617,0.458254,-0.231265,4.51466e-05,0.000197619,1.9999,0.00268596,0.0117232,-0.00589082,0.01
0.12544,0.542297,-0.2744,7.76192e-05,0.000339175,1.99983,0.0038416,0.016728,-0.00842,0.01
0.144836,0.623854,-0.316512,0.000122632,0.000534939,1.99973,0.00519333,0.0225608,-0.0113754,0.01
0.163808,0.702948,-0.35761,0.000182125,0.000793069,1.9996,0.00673691,0.0291969,-0.0147469,0.01
0.18236,0.779601,-0.3977,0.000257996,0.00112147,1.99943,0.0084681,0.0366117,-0.0185242,0.01
0.200494,0.853833,-0.43679,0.000352099,0.00152782,1.99923,0.0103827,0.0447808,-0.0226975,0.01
0.218213,0.925668,-0.474888,0.000466248,0.00201952,1.99898,0.0124766,0.0536803,-0.0272567,0.01
0.23552,0.995126,-0.512,0.000602214,0.00260378,1.99868,0.0147456,0.0632863,-0.032192,0.01
0.252418,1.06223,-0.548135,0.00076173,0.00328753,1.99833,0.0171856,0.073575,-0.0374935,0.01
0.268911,1.127,-0.583299,0.000946484,0.00407748,1.99793,0.0197926,0.0845231,-0.0431515,0.01
0.285,1.18946,-0.6175,0.00115812,0.00498011,1.99747,0.0225625,0.0961073,-0.0491562,0.01
0.300689,1.24963,-0.650746,0.00139826,0.00600167,1.99695,0.0254913,0.108305,-0.0554983,0.01
0.315982,1.30754,-0.683043,0.00166847,0.00714817,1.99636,0.028575,0.121092,-0.062168,0.01
0.33088,1.3632,-0.7144,0.00197027,0.00842541,1.9957,0.0318096,0.134448,-0.069156,0.01
0.345387,1.41663,-0.744823,0.00230515,0.00983895,1.99498,0.0351913,0.148349,-0.0764529,0.01
0.359506,1.46787,-0.774321,0.00267457,0.0113941,1.99417,0.038716,0.162773,-0.0840494,0.01
0.37324,1.51692,-0.8029,0.00307993,0.0130961,1.99329,0.0423801,0.177699,-0.0919363,0.01
0.386592,1.56382,-0.830568,0.00352262,0.0149497,1.99233,0.0461796,0.193105,-0.100104,0.01
0.399564,1.60857,-0.857332,0.00400396,0.0169597,1.99129,0.0501107,0.208968,-0.108545,0.01
0.41216,1.65122,-0.8832,0.00452526,0.0191305,1.99016,0.0541696,0.225269,-0.117248,0.01
0.424383,1.69177,-0.908179,0.00508777,0.0214665,1.98894,0.0583526,0.241986,-0.126206,0.01
0.436235,1.73025,-0.932277,0.00569271,0.0239716,1.98764,0.062656,0.259098,-0.135409,0.01
0.44772,1.76668,-0.9555,0.00634128,0.0266497,1.98624,0.0670761,0.276584,-0.144848,0.01
0.45884,1.80109,-0.977857,0.00703461,0.0295044,1.98474,0.0716092,0.294424,-0.154516,0.01
0.4696,1.83349,-0.999354,0.00777383,0.0325393,1.98314,0.0762517,0.312599,-0.164403,0.01
0.48,1.8639,-1.02,0.00856,0.0357575,1.98145,0.081,0.331088,-0.1745,0.01
0.490045,1.89235,-1.0398,0.00939417,0.039162,1.97965,0.0858505,0.34987,-0.1848,0.01
0.499737,1.91887,-1.05877,0.0102773,0.0427558,1.97775,0.0907997,0.368928,-0.195293,0.01
0.50908,1.94346,-1.0769,0.0112105,0.0465414,1.97575,0.0958441,0.388241,-0.205972,0.01
0.518076,1.96616,-1.09421,0.0121945,0.0505214,1.97363,0.10098,0.407791,-0.216828,0.01
0.526728,1.98698,-1.11071,0.0132304,0.054698,1.97141,0.106204,0.427558,-0.227854,0.01
0.53504,2.00595,-1.1264,0.0143189,0.0590732,1.96908,0.111514,0.447524,-0.23904,0.01
0.543014,2.02309,-1.14129,0.0154609,0.063649,1.96663,0.116904,0.467671,-0.250379,0.01
0.550653,2.03842,-1.15539,0.0166572,0.0684272,1.96407,0.122373,0.48798,-0.261863,0.01
0.55796,2.05196,-1.1687,0.0179086,0.0734091,1.96139,0.127916,0.508433,-0.273484,0.01
0.564938,2.06373,-1.18123,0.0192158,0.0785963,1.9586,0.133531,0.529013,-0.285235,0.01
0.571591,2.07376,-1.193,0.0205795,0.0839898,1.95569,0.139214,0.549702,-0.297106,0.01
0.57792,2.08207,-1.204,0.0220003,0.0895906,1.95266,0.144962,0.570483,-0.309092,0.01
0.583929,2.08868,-1.21425,0.0234789,0.0953997,1.9495,0.150771,0.591338,-0.321184,0.01
