acc_x,acc_y,acc_z,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dt
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.01
0.0220005,0.0956956,-0.0472568,3.68521e-07,1.60569e-06,2.0,0.000110372,0.000480631,-0.000237151,0.01
0.0435595,0.188819,-0.0934763,2.93341e-06,1.27595e-05,1.99999,0.000438538,0.00190534,-0.000941678,0.01
0.06468,0.279392,-0.138666,9.8506e-06,4.2774e-05,1.99998,0.0009801,0.00424851,-0.00210324,0.01
0.0853649,0.367436,-0.182833,2.32322e-05,0.000100707,1.99995,0.00173069,0.00748475,-0.00371159,0.01
0.105617,0.452973,-0.225985,4.51466e-05,0.000195362,1.9999,0.00268596,0.0115889,-0.00575652,0.01
0.12544,0.536025,-0.268128,7.76192e-05,0.000335294,1.99983,0.0038416,0.0165359,-0.00822792,0.01
0.144836,0.616612,-0.309271,0.000122632,0.000528808,1.99974,0.00519333,0.0223012,-0.0111157,0.01
0.163808,0.694758,-0.349419,0.000182125,0.000783963,1.99961,0.00673691,0.02886,-0.01441,0.01
0.18236,0.770483,-0.388582,0.000257996,0.00110857,1.99945,0.0084681,0.0361883,-0.0181008,0.01
0.200494,0.843809,-0.426765,0.000352099,0.00151021,1.99925,0.0103827,0.0442617,-0.0221784,0.01
0.218213,0.914757,-0.463977,0.000466248,0.00199621,1.999,0.0124766,0.0530565,-0.0266329,0.01
0.23552,0.98335,-0.500224,0.000602214,0.00257367,1.99871,0.0147456,0.062549,-0.0314547,0.01
0.252418,1.04961,-0.535514,0.00076173,0.00324944,1.99837,0.0171856,0.0727157,-0.0366342,0.01
0.268911,1.11356,-0.569853,0.000946484,0.00403015,1.99798,0.0197926,0.0835335,-0.0421618,0.01
0.285,1.17521,-0.60325,0.00115812,0.0049222,1.99753,0.0225625,0.0949792,-0.0480281,0.01
0.300689,1.2346,-0.635711,0.00139826,0.00593175,1.99702,0.0254913,0.10703,-0.0542237,0.01
0.315982,1.29174,-0.667244,0.00166847,0.00706475,1.99644,0.028575,0.119664,-0.0607393,0.01
0.33088,1.34665,-0.697856,0.00197027,0.0083269,1.9958,0.0318096,0.132858,-0.0675655,0.01
0.345387,1.39936,-0.727554,0.00230515,0.00972369,1.99509,0.0351913,0.146589,-0.0746933,0.01
0.359506,1.44989,-0.756346,0.00267457,0.0112604,1.99431,0.038716,0.160838,-0.0821136,0.01
0.37324,1.49826,-0.784238,0.00307993,0.0129421,1.99345,0.0423801,0.17558,-0.0898172,0.01
