acc_x,acc_y,acc_z,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dt
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.01
0.0225505,0.0962456,-0.0483568,3.77734e-07,1.61491e-06,2.0,0.000113131,0.00048339,-0.00024267,0.01
0.0446485,0.189908,-0.0956543,3.00675e-06,1.28328e-05,1.99999,0.000449502,0.0019163,-0.000963605,0.01
0.066297,0.281009,-0.1419,1.00969e-05,4.30202e-05,1.99998,0.0010046,0.00427301,-0.00215225,0.01
0.0874991,0.36957,-0.187101,2.3813e-05,0.000101287,1.99995,0.00177395,0.00752802,-0.00379812,0.01
0.108258,0.455614,-0.231265,4.62753e-05,0.000196491,1.9999,0.00275311,0.011656,-0.00589082,0.01
0.128576,0.539161,-0.2744,7.95597e-05,0.000337234,1.99983,0.00393764,0.016632,-0.00842,0.01
0.148457,0.620233,-0.316512,0.000125698,0.000531874,1.99973,0.00532317,0.022431,-0.0113754,0.01
0.167904,0.698853,-0.35761,0.000186678,0.000788516,1.9996,0.00690533,0.0290285,-0.0147469,0.01
0.186919,0.775042,-0.3977,0.000264446,0.00111502,1.99943,0.0086798,0.0364,-0.0185242,0.01
0.205506,0.848821,-0.43679,0.000360901,0.00151901,1.99923,0.0106423,0.0445213,-0.0226975,0.01
0.223668,0.920213,-0.474888,0.000477904,0.00200787,1.99898,0.0127885,0.0533684,-0.0272567,0.01
0.241408,0.989238,-0.512,0.00061727,0.00258872,1.99868,0.0151142,0.0629176,-0.032192,0.01
0.258729,1.05592,-0.548135,0.000780773,0.00326848,1.99833,0.0176153,0.0731454,-0.0374935,0.01
0.275633,1.12028,-0.583299,0.000970146,0.00405381,1.99793,0.0202874,0.0840283,-0.0431515,0.01
0.292125,1.18234,-0.6175,0.00118708,0.00495115,1.99747,0.0231266,0.0955433,-0.0491562,0.01
0.308207,1.24212,-0.650746,0.00143322,0.00596671,1.99695,0.0261286,0.107667,-0.0554983,0.01
0.323881,1.29964,-0.683043,0.00171018,0.00710646,1.99636,0.0292893,0.120378,-0.062168,0.01
0.339152,1.35493,-0.7144,0.00201952,0.00837615,1.9957,0.0326048,0.133653,-0.069156,0.01
0.354022,1.408,-0.744823,0.00236278,0.00978132,1.99498,0.036071,0.147469,-0.0764529,0.01
0.368494,1.45888,-0.774321,0.00274143,0.0113273,1.99417,0.039684,0.161805,-0.0840494,0.01
0.382571,1.50759,-0.8029,0.00315693,0.0130191,1.99329,0.0434396,0.17664,-0.0919363,0.01
0.396256,1.55415,-0.830568,0.00361069,0.0148616,1.99233,0.0473341,0.19195,-0.100104,0.01
0.409553,1.59859,-0.857332,0.00410406,0.0168596,1.99129,0.0513634,0.207716,-0.108545,0.01
0.422464,1.64092,-0.8832,0.00463839,0.0190174,1.99016,0.0555238,0.223915,-0.117248,0.01
0.434992,1.68116,-0.908179,0.00521496,0.0213393,1.98894,0.0598114,0.240527,-0.126206,0.01
0.447141,1.71935,-0.932277,0.00583503,0.0238292,1.98764,0.0642224,0.257531,-0.135409,0.01
0.458913,1.75549,-0.9555,0.00649981,0.0264911,1.98624,0.068753,0.274907,-0.144848,0.01
0.470312,1.78962,-0.977857,0.00721048,0.0293286,1.98474,0.0733994,0.292634,-0.154516,0.01
0.481339,1.82175,-0.999354,0.00796817,0.0323449,1.98314,0.078158,0.310693,-0.164403,0.01
0.492,1.8519,-1.02,0.008774,0.0355435,1.98145,0.083025,0.329063,-0.1745,0.01
0.502296,1.8801,-1.0398,0.00962902,0.0389271,1.97965,0.0879968,0.347724,-0.1848,0.01
0.512231,1.90637,-1.05877,0.0105343,0.0424988,1.97775,0.0930697,0.366658,-0.195293,0.01
0.521807,1.93073,-1.0769,0.0114907,0.0462612,1.97575,0.0982402,0.385845,-0.205972,0.01
0.531028,1.9532,-1.09421,0.0124994,0.0502165,1.97363,0.103505,0.405266,-0.216828,0.01
0.539897,1.97381,-1.11071,0.0135611,0.0543672,1.97141,0.10886,0.424903,-0.227854,0.01
0.548416,1.99257,-1.1264,0.0146769,0.0587152,1.96908,0.114301,0.444737,-0.23904,0.01
0.556589,2.00951,-1.14129,0.0158474,0.0632625,1.96663,0.119827,0.464748,-0.250379,0.01
0.564419,2.02465,-1.15539,0.0170737,0.0680107,1.96407,0.125432,0.484921,-0.261863,0.01
0.571909,2.03801,-1.1687,0.0183563,0.0729614,1.96139,0.131114,0.505236,-0.273484,0.01
0.579062,2.04961,-1.18123,0.0196962,0.0781159,1.9586,0.136869,0.525675,-0.285235,0.01
0.58588,2.05948,-1.193,0.021094,0.0834753,1.95569,0.142694,0.546222,-0.297106,0.01
0.592368,2.06763,-1.204,0.0225503,0.0890406,1.95266,0.148586,0.566859,-0.309092,0.01
0.598528,2.07409,-1.21425,0.0240659,0.0948127,1.9495,0.15454,0.587569,-0.321184,0.01
0.604362,2.07887,-1.22374,0.0256413,0.100792,1.94623,0.160555,0.608335,-0.333374,0.01
0.609875,2.08201,-1.2325,0.0272772,0.10698,1.94284,0.166627,0.629141,-0.345656,0.01
0.615069,2.08352,-1.24052,0.028974,0.113375,1.93932,0.172752,0.64997,-0.358022,0.01
0.619947,2.08343,-1.24782,0.0307324,0.119979,1.93568,0.178927,0.670806,-0.370464,0.01
0.624512,2.08175,-1.2544,0.0325527,0.126791,1.93191,0.185149,0.691633,-0.382976,0.01
0.628767,2.07851,-1.26027,0.0344355,0.133812,1.92802,0.191416,0.712436,-0.39555,0.01
0.632716,2.07373,-1.26543,0.0363812,0.14104,1.924,0.197724,0.733198,-0.408179,0.01
0.636361,2.06744,-1.2699,0.0383901,0.148475,1.91985,0.204069,0.753905,-0.420856,0.01
0.639705,2.05964,-1.27368,0.0404627,0.156118,1.91558,0.21045,0.774542,-0.433575,0.01
