acc_x,acc_y,acc_z,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dt
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.01
0.0225505,0.0967956,-0.0483568,3.77734e-07,1.62412e-06,2.0,0.000113131,0.000486149,-0.00024267,0.01
0.0446485,0.190997,-0.0956543,3.00675e-06,1.29062e-05,1.99999,0.000449502,0.00192727,-0.000963605,0.01
0.066297,0.282626,-0.1419,1.00969e-05,4.32665e-05,1.99998,0.0010046,0.00429752,-0.00215225,0.01
0.0874991,0.371705,-0.187101,2.3813e-05,0.000101868,1.99995,0.00177395,0.00757129,-0.00379812,0.01
0.108258,0.458254,-0.231265,4.62753e-05,0.000197619,1.9999,0.00275311,0.0117232,-0.00589082,0.01
0.128576,0.542297,-0.2744,7.95597e-05,0.000339175,1.99983,0.00393764,0.016728,-0.00842,0.01
0.148457,0.623854,-0.316512,0.000125698,0.000534939,1.99973,0.00532317,0.0225608,-0.0113754,0.01
0.167904,0.702948,-0.35761,0.000186678,0.000793069,1.9996,0.00690533,0.0291969,-0.0147469,0.01
0.186919,0.779601,-0.3977,0.000264446,0.00112147,1.99943,0.0086798,0.0366117,-0.0185242,0.01
0.205506,0.853833,-0.43679,0.000360901,0.00152782,1.99923,0.0106423,0.0447808,-0.0226975,0.01
0.223668,0.925668,-0.474888,0.000477904,0.00201952,1.99898,0.0127885,0.0536803,-0.0272567,0.01
0.241408,0.995126,-0.512,0.00061727,0.00260378,1.99868,0.0151142,0.0632863,-0.032192,0.01
0.258729,1.06223,-0.548135,0.000780773,0.00328753,1.99833,0.0176153,0.073575,-0.0374935,0.01
0.275633,1.127,-0.583299,0.000970146,0.00407748,1.99793,0.0202874,0.0845231,-0.0431515,0.01
0.292125,1.18946,-0.6175,0.00118708,0.00498011,1.99747,0.0231266,0.0961073,-0.0491562,0.01
0.308207,1.24963,-0.650746,0.00143322,0.00600167,1.99695,0.0261286,0.108305,-0.0554983,0.01
0.323881,1.30754,-0.683043,0.00171018,0.00714817,1.99636,0.0292893,0.121092,-0.062168,0.01
0.339152,1.3632,-0.7144,0.00201952,0.00842541,1.9957,0.0326048,0.134448,-0.069156,0.01
0.354022,1.41663,-0.744823,0.00236278,0.00983895,1.99498,0.036071,0.148349,-0.0764529,0.01
0.368494,1.46787,-0.774321,0.00274143,0.0113941,1.99417,0.039684,0.162773,-0.0840494,0.01
0.382571,1.51692,-0.8029,0.00315693,0.0130961,1.99329,0.0434396,0.177699,-0.0919363,0.01
0.396256,1.56382,-0.830568,0.00361069,0.0149497,1.99233,0.0473341,0.193105,-0.100104,0.01
0.409553,1.60857,-0.857332,0.00410406,0.0169597,1.99129,0.0513634,0.208968,-0.108545,0.01
0.422464,1.65122,-0.8832,0.00463839,0.0191305,1.99016,0.0555238,0.225269,-0.117248,0.01
0.434992,1.69177,-0.908179,0.00521496,0.0214665,1.98894,0.0598114,0.241986,-0.126206,0.01
0.447141,1.73025,-0.932277,0.00583503,0.0239716,1.98764,0.0642224,0.259098,-0.135409,0.01
0.458913,1.76668,-0.9555,0.00649981,0.0266497,1.98624,0.068753,0.276584,-0.144848,0.01
0.470312,1.80109,-0.977857,0.00721048,0.0295044,1.98474,0.0733994,0.294424,-0.154516,0.01
