time,rate_roll,rate_pitch,rate_yaw,current,voltage,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw
1738014781.5023603,,,,,,1.4769854996213259,-0.3366357854693641,0.6232489841638231,-0.006950295364827509,0.0009231629647098274,0.002071157663477102,0.01522249541781221,0.017916829141966444,3.068403304400862
1738014781.5117278,,,,,,1.4769945579788486,-0.3367447100232044,0.6231523391586676,-0.006462656042025021,0.0015009982613348428,0.0008866120563260883,0.01521614382765962,0.018212428946414973,3.068097136874058
1738014781.5180573,-0.001068115234375,0.003204345703125,-0.001068115234375,0.000762939453125,11.5399169921875,,,,,,,,,
1738014781.5212915,,,,,,1.4769302674765425,-0.3367297780925006,0.6231611591754039,-0.006462656042025021,0.0015009982613348428,0.0008866120563260883,0.015216701906061544,0.018268084375414162,3.0680142353065523
1738014781.527559,-0.001068115234375,0.00213623046875,-0.001068115234375,0.000762939453125,11.5496826171875,,,,,,,,,
1738014781.5316613,,,,,,1.476864820158805,-0.33671457748310807,0.6231701378956984,-0.006462656042025021,0.0015009982613348428,0.0008866120563260883,0.015217265286869725,0.018324741291393765,3.067929841989362
1738014781.5382752,-0.001068115234375,0.00213623046875,-0.001068115234375,0.000762939453125,11.5496826171875,,,,,,,,,
1738014781.541452,,,,,,1.4768010402063263,-0.33669976413126695,0.6231788878700822,-0.006462656042025021,0.0015009982613348428,0.0008866120563260883,0.015217809714225377,0.018379954835883082,3.0678475986605025
1738014781.5474782,-0.001068115234375,0.003204345703125,0.0,0.000762939453125,11.5496826171875,,,,,,,,,
1738014781.5514305,,,,,,1.4772527729483302,-0.3368118472540776,0.6231220565703286,-0.006399143517931683,0.0007668665813644552,0.0015012703912732272,0.015228157856966353,0.017943347111184327,3.0684298165195374
1738014781.5590968,-0.001068115234375,0.003204345703125,0.0,0.000762939453125,11.5496826171875,,,,,,,,,
1738014781.5613582,,,,,,1.4771778925095767,-0.336787180038074,0.6231465920168763,-0.006468294803491373,0.0010650685052553295,0.001562196384057176,0.015196889398395022,0.01792733455295815,3.0683837192202557
1738014781.5677412,0.0,0.003204345703125,-0.001068115234375,0.000762939453125,11.5496826171875,,,,,,,,,
1738014781.5736666,,,,,,1.4771130607907614,-0.33677650485644584,0.6231622499112337,-0.006468294803491373,0.0010650685052553295,0.001562196384057176,0.015192615786096321,0.017929866448186865,3.068369108432695
1738014781.5778036,-0.001068115234375,0.00213623046875,-0.001068115234375,0.000762939453125,11.5399169921875,,,,,,,,,
1738014781.5817356,,,,,,1.477048397247611,-0.3367658573665988,0.6231778671884851,-0.006468294803491373,0.0010650685052553295,0.001562196384057176,0.015188353222644124,0.01793239171340558,3.068354535534569
1738014781.58863,-0.001068115234375,0.003204345703125,-0.00213623046875,0.000762939453125,11.5399169921875,,,,,,,,,
1738014781.591708,,,,,,1.4769838824752408,-0.3367552343733274,0.6231934485352197,-0.006468294803491373,0.0010650685052553295,0.001562196384057176,0.015184100429158544,0.017934911106877303,3.068339996152781
1738014781.6040921,-0.00213623046875,0.003204345703125,-0.001068115234375,0.000762939453125,11.5496826171875,,,,,,,,,
1738014781.6041474,,,,,,1.4773347988468528,-0.3368440063712959,0.6231328870410455,-0.006793865327540006,0.0007783499198347752,0.0015808073437365152,0.01519107020438862,0.017829565784826747,3.0685117289463943
1738014781.6084948,-0.001068115234375,0.00213623046875,0.0,0.000762939453125,11.5496826171875,,,,,,,,,
1738014781.612722,,,,,,1.4772687692697346,-0.336836441588425,0.6231482509076194,-0.006793865327540006,0.0007783499198347752,0.0015808073437365152,0.015185754598131786,0.017848718312418837,3.068514728221357
1738014781.6175725,-0.001068115234375,0.00213623046875,0.0,0.000762939453125,11.5496826171875,,,,,,,,,
1738014781.6217046,,,,,,1.4771984731451906,-0.3368283880018045,0.623164607521205,-0.006793865327540006,0.0007783499198347752,0.0015808073437365152,0.015180095581392295,0.017869108411529416,3.0685179211857974
1738014781.627438,-0.001068115234375,0.003204345703125,-0.001068115234375,0.000762939453125,11.5496826171875,,,,,,,,,
1738014781.6316197,,,,,,1.4771329870772985,-0.33682088548692724,0.6231798449231912,-0.006793865327540006,0.0007783499198347752,0.0015808073437365152,0.015174823843170041,0.017888103321503812,3.0685208955668477
1738014781.6399977,-0.001068115234375,0.003204345703125,-0.001068115234375,0.000762939453125,11.5496826171875,,,,,,,,,
1738014781.6419415,,,,,,1.4770500779817581,-0.3368097324746465,0.6232102207890311,-0.006619660641991822,0.0008102725577109136,0.0017571625652121562,0.015243536497521536,0.01790430039414459,3.0685378962355516
1738014781.647627,-0.001068115234375,0.00213623046875,-0.001068115234375,0.000762939453125,11.5496826171875,,,,,,,,,
1738014781.6517065,,,,,,1.4770555165691632,-0.3368069393110035,0.6232163257652078,-0.0065449788835594755,0.0011201464989477584,0.00191408600042502,0.015207246021749443,0.017838081705192157,3.068484812683881
1738014781.6574159,-0.001068115234375,0.003204345703125,0.001068115234375,0.000762939453125,11.5496826171875,,,,,,,,,
1738014781.6625288,,,,,,1.4769900340554332,-0.3367957322452815,0.6232354761956421,-0.0065449788835594755,0.0011201464989477584,0.00191408600042502,0.015221616669209227,0.017840840208676708,3.068454367918477
1738014781.667973,-0.001068115234375,0.003204345703125,-0.001068115234375,0.000762939453125,11.5496826171875,,,,,,,,,
1738014781.6728172,,,,,,1.4769239232237303,-0.3367844176454956,0.6232548103783324,-0.0065449788835594755,0.0011201464989477584,0.00191408600042502,0.015236125121442673,0.01784362562431645,3.0684236310680904
