time,rate_roll,rate_pitch,rate_yaw,current,voltage,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw
1738176549.2282116,,,,,,1.4130572362855394,-0.38487552179157475,0.6214881391850207,0.0031376967875132817,-0.0029974955441716172,-0.005607139261729793,0.0121422353532186,-0.0053466355620178,3.1321259830790167
1738176549.2381165,,,,,,1.413088177113561,-0.3849050800951358,0.6214328471847608,0.0031376967875132817,-0.0029974955441716172,-0.005607139261729793,0.012134586860723953,-0.005326537138560751,3.132118298544142
1738176549.2436278,-0.001068115234375,0.003204345703125,-0.001068115234375,0.000762939453125,11.70989990234375,,,,,,,,,
1738176549.2489471,,,,,,1.4131348396396282,-0.3849514435907566,0.6213125918191394,0.00310846222455008,-0.0027822648270288386,-0.005679157216322858,0.01206861992941289,-0.005229557952629006,3.1322734465895263
1738176549.2540002,0.0,0.003204345703125,-0.001068115234375,0.000762939453125,11.70989990234375,,,,,,,,,
1738176549.2591937,,,,,,1.4131633007197562,-0.3849769180075129,0.6212605934556668,0.00310846222455008,-0.0027822648270288386,-0.005679157216322858,0.012061515284858892,-0.00519491729940903,3.132266507730367
1738176549.2650852,-0.001068115234375,0.003204345703125,0.0,0.000762939453125,11.70989990234375,,,,,,,,,
1738176549.2722046,,,,,,1.4129490257569617,-0.3847659807704598,0.6216727335625956,0.0032330116941149513,-0.002942707157445675,-0.005007685809464735,0.012144563218160636,-0.005348396735066778,3.1321971050697095
1738176549.275571,0.0,0.003204345703125,-0.001068115234375,0.000762939453125,11.70989990234375,,,,,,,,,
1738176549.2778907,,,,,,1.412979209154138,-0.3847934538844818,0.6216259818078783,0.0032330116941149513,-0.002942707157445675,-0.005007685809464735,0.012135822553208109,-0.005362154622404062,3.1322056643159732
1738176549.2834015,-0.001068115234375,0.003204345703125,-0.001068115234375,0.000762939453125,11.70989990234375,,,,,,,,,
1738176549.289116,,,,,,1.413011529572044,-0.38482287212793476,0.6215759199728411,0.0032330116941149513,-0.002942707157445675,-0.005007685809464735,0.012126462907415394,-0.005376886501723222,3.132214829701169
1738176549.2953432,0.0,0.00213623046875,-0.001068115234375,0.000762939453125,11.70989990234375,,,,,,,,,
1738176549.2984107,,,,,,1.4130438661550087,-0.3848523050849235,0.6215258330993748,0.0032330116941149513,-0.002942707157445675,-0.005007685809464735,0.012117098444526207,-0.005391625663343326,3.1322239998091503
1738176549.3035266,-0.001068115234375,0.00213623046875,0.0,0.000762939453125,11.70989990234375,,,,,,,,,
1738176549.3085067,,,,,,1.4130991877039614,-0.38488191815002437,0.621439751090136,0.0032346849438251784,-0.0029510077612138657,-0.005135179533497153,0.012198391783797457,-0.0053167700081902065,3.132182280841192
