trajID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0,0.49,0.0365352,0.166567,1.9255,0.203088,0.894515,-0.409556,0.667107,2.67661,-1.30628
0,0.5,0.0385995,0.175646,1.92133,0.20978,0.921277,-0.422647,0.671296,2.67559,-1.31173
0,0.51,0.040731,0.184993,1.91704,0.216513,0.94802,-0.435788,0.675164,2.67276,-1.31646
0,0.52,0.0429299,0.194606,1.91262,0.223282,0.974726,-0.448973,0.678712,2.66814,-1.32049
0,0.53,0.0451967,0.204487,1.90806,0.230086,1.00138,-0.462196,0.681944,2.66177,-1.32381
0,0.54,0.0475317,0.214634,1.90337,0.23692,1.02796,-0.475447,0.684864,2.65366,-1.32643
0,0.55,0.0499352,0.225046,1.89855,0.243782,1.05444,-0.488722,0.687475,2.64385,-1.32837
0,0.56,0.0524075,0.235722,1.8936,0.250669,1.08083,-0.502012,0.689779,2.63235,-1.32963
0,0.57,0.0549487,0.246662,1.88851,0.257577,1.10709,-0.515312,0.691781,2.61919,-1.33021
0,0.58,0.0575591,0.257864,1.88329,0.264503,1.13321,-0.528614,0.693482,2.6044,-1.33013
0,0.59,0.0602388,0.269326,1.87794,0.271445,1.15917,-0.541913,0.694888,2.58799,-1.32939
0,0.6,0.062988,0.281046,1.87246,0.2784,1.18496,-0.5552,0.696,2.57,-1.328
0,0.61,0.0658068,0.293024,1.86684,0.285364,1.21056,-0.56847,0.696822,2.55045,-1.32597
0,0.62,0.0686953,0.305257,1.86109,0.292335,1.23596,-0.581717,0.697358,2.52936,-1.3233
0,0.63,0.0716535,0.317743,1.8552,0.299311,1.26115,-0.594934,0.697609,2.50676,-1.32001
0,0.64,0.0746815,0.330479,1.84919,0.306287,1.28609,-0.608115,0.697581,2.48267,-1.3161
0,0.65,0.0777793,0.343464,1.84304,0.313261,1.31079,-0.621254,0.697275,2.45712,-1.31158
0,0.66,0.0809467,0.356694,1.83676,0.320231,1.33523,-0.634345,0.696696,2.43013,-1.30645
0,0.67,0.0841839,0.370167,1.83035,0.327194,1.35939,-0.647381,0.695846,2.40173,-1.30072
0,0.68,0.0874906,0.383881,1.82382,0.334147,1.38326,-0.660357,0.694728,2.37193,-1.29441
0,0.69,0.0908668,0.397832,1.81715,0.341088,1.40683,-0.673268,0.693346,2.34078,-1.28752
0,0.7,0.0943123,0.412016,1.81035,0.348013,1.43007,-0.686106,0.691704,2.30828,-1.28005
0,0.71,0.097827,0.426432,1.80343,0.354921,1.45299,-0.698867,0.689803,2.27447,-1.27202
0,0.72,0.101411,0.441075,1.79637,0.361809,1.47556,-0.711544,0.687648,2.23937,-1.26342
0,0.73,0.105063,0.455942,1.7892,0.368673,1.49777,-0.724133,0.685242,2.203,-1.25428
0,0.74,0.108784,0.471029,1.78189,0.375513,1.51961,-0.736628,0.682587,2.16539,-1.2446
0,0.75,0.112573,0.486333,1.77446,0.382324,1.54107,-0.749023,0.679687,2.12656,-1.23437
0,0.76,0.11643,0.501849,1.76691,0.389106,1.56214,-0.761314,0.676546,2.08654,-1.22363
0,0.77,0.120355,0.517574,1.75924,0.395854,1.5828,-0.773494,0.673167,2.04536,-1.21236
0,0.78,0.124347,0.533504,1.75144,0.402568,1.60304,-0.785559,0.669552,2.00303,-1.20058
0,0.79,0.128406,0.549634,1.74353,0.409245,1.62286,-0.797504,0.665705,1.95958,-1.18829
0,0.8,0.132532,0.56596,1.73549,0.415881,1.64223,-0.809323,0.66163,1.91504,-1.17551
0,0.81,0.136724,0.582477,1.72734,0.422476,1.66116,-0.821013,0.657328,1.86943,-1.16223
0,0.82,0.140982,0.599181,1.71907,0.429027,1.67962,-0.832567,0.652805,1.82278,-1.14848
0,0.83,0.145304,0.616068,1.71069,0.435532,1.69761,-0.843981,0.648062,1.7751,-1.13425
0,0.84,0.149692,0.633132,1.70219,0.441988,1.71512,-0.85525,0.643104,1.72644,-1.11955
0,0.85,0.154144,0.650369,1.69358,0.448393,1.73213,-0.86637,0.637933,1.6768,-1.1044
0,0.86,0.15866,0.667773,1.68487,0.454746,1.74865,-0.877336,0.632552,1.62621,-1.08879
0,0.87,0.163239,0.68534,1.67604,0.461044,1.76465,-0.888144,0.626965,1.5747,-1.07274
0,0.88,0.16788,0.703064,1.6671,0.467284,1.78014,-0.89879,0.621176,1.5223,-1.05625
0,0.89,0.172584,0.720941,1.65806,0.473466,1.7951,-0.909268,0.615186,1.46902,-1.03934
0,0.9,0.17735,0.738964,1.64892,0.479588,1.80952,-0.919575,0.609,1.4149,-1.022
0,0.91,0.182176,0.757129,1.63967,0.485646,1.82339,-0.929707,0.602621,1.35995,-1.00425
0,0.92,0.187062,0.77543,1.63033,0.491639,1.83671,-0.939659,0.596051,1.30421,-0.986095
0,0.93,0.192008,0.793862,1.62088,0.497566,1.84947,-0.949427,0.589294,1.24769,-0.967541
