trajID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,dt
0,0.45,0.0252813,0.10831,1.94284,0.154434,0.637269,-0.345656,0.56525,2.11176,-1.2325,0.01
0,0.46,0.026854,0.114788,1.93932,0.160111,0.658397,-0.358022,0.570064,2.11353,-1.24052,0.01
0,0.47,0.0284837,0.121478,1.93568,0.165835,0.679534,-0.370464,0.574585,2.11367,-1.24782,0.01
0,0.48,0.0301708,0.128379,1.93191,0.171602,0.700665,-0.382976,0.578816,2.11222,-1.2544,0.01
0,0.49,0.0319158,0.135491,1.92802,0.17741,0.721773,-0.39555,0.58276,2.10919,-1.26027,0.01
0,0.5,0.0337191,0.142814,1.924,0.183256,0.742843,-0.408179,0.58642,2.1046,-1.26543,0.01
0,0.51,0.0355811,0.150348,1.91985,0.189137,0.76386,-0.420856,0.589798,2.09848,-1.2699,0.01
0,0.52,0.037502,0.158091,1.91558,0.195051,0.784808,-0.433575,0.592898,2.09085,-1.27368,0.01
0,0.53,0.0394822,0.166044,1.91118,0.200995,0.805672,-0.446328,0.595721,2.08172,-1.27678,0.01
0,0.54,0.041522,0.174205,1.90665,0.206965,0.826437,-0.459108,0.598272,2.07114,-1.2792,0.01
0,0.55,0.0436216,0.182572,1.902,0.212959,0.84709,-0.471909,0.600552,2.0591,-1.28096,0.01
0,0.56,0.0457812,0.191146,1.89721,0.218975,0.867615,-0.484725,0.602566,2.04564,-1.28205,0.01
0,0.57,0.0480011,0.199924,1.8923,0.225009,0.887998,-0.497548,0.604314,2.03078,-1.2825,0.01
0,0.58,0.0502815,0.208905,1.88726,0.23106,0.908226,-0.510373,0.605801,2.01454,-1.2823,0.01
0,0.59,0.0526224,0.218088,1.8821,0.237125,0.928284,-0.523192,0.607028,1.99694,-1.28147,0.01
0,0.6,0.055024,0.22747,1.8768,0.2432,0.94816,-0.536,0.608,1.978,-1.28,0.01
0,0.61,0.0574864,0.237051,1.87138,0.249284,0.96784,-0.54879,0.608718,1.95775,-1.27791,0.01
0,0.62,0.0600097,0.246826,1.86582,0.255374,0.987311,-0.561556,0.609186,1.9362,-1.27521,0.01
0,0.63,0.0625939,0.256796,1.86015,0.261467,1.00656,-0.574292,0.609406,1.91339,-1.2719,0.01
0,0.64,0.065239,0.266957,1.85434,0.267561,1.02557,-0.586992,0.609381,1.88932,-1.26799,0.01
0,0.65,0.0679451,0.277307,1.84841,0.273654,1.04434,-0.59965,0.609114,1.86403,-1.26349,0.01
0,0.66,0.0707121,0.287843,1.84235,0.279742,1.06285,-0.61226,0.608608,1.83754,-1.2584,0.01
0,0.67,0.0735399,0.298563,1.83616,0.285825,1.08109,-0.624816,0.607865,1.80986,-1.25273,0.01
0,0.68,0.0764286,0.309464,1.82985,0.291899,1.09904,-0.637313,0.606889,1.78102,-1.2465,0.01
0,0.69,0.0793779,0.320543,1.82341,0.297962,1.11671,-0.649744,0.605682,1.75103,-1.2397,0.01
0,0.7,0.0823878,0.331797,1.81685,0.304012,1.13406,-0.662105,0.604247,1.71993,-1.23235,0.01
0,0.71,0.0854581,0.343223,1.81017,0.310046,1.1511,-0.674389,0.602587,1.68774,-1.22444,0.01
0,0.72,0.0885886,0.354818,1.80337,0.316063,1.16781,-0.686592,0.600704,1.65447,-1.216,0.01
0,0.73,0.0917792,0.366578,1.79644,0.322059,1.18419,-0.698708,0.598602,1.62015,-1.20702,0.01
0,0.74,0.0950297,0.3785,1.78939,0.328034,1.20021,-0.710731,0.596283,1.5848,-1.19752,0.01
0,0.75,0.0983398,0.390581,1.78223,0.333984,1.21588,-0.722656,0.59375,1.54844,-1.1875,0.01
0,0.76,0.101709,0.402817,1.77494,0.339908,1.23118,-0.734479,0.591006,1.51109,-1.17697,0.01
0,0.77,0.105138,0.415203,1.76754,0.345804,1.2461,-0.746194,0.588054,1.47278,-1.16593,0.01
0,0.78,0.108625,0.427737,1.76002,0.351669,1.26063,-0.757796,0.584896,1.43353,-1.1544,0.01
0,0.79,0.112171,0.440415,1.75238,0.357501,1.27476,-0.76928,0.581536,1.39335,-1.14238,0.01
0,0.8,0.115775,0.453231,1.74463,0.363299,1.28849,-0.780642,0.577975,1.35228,-1.12988,0.01
0,0.81,0.119437,0.466183,1.73677,0.36906,1.30181,-0.791876,0.574218,1.31033,-1.1169,0.01
0,0.82,0.123156,0.479266,1.7288,0.374782,1.3147,-0.802978,0.570266,1.26752,-1.10346,0.01
0,0.83,0.126933,0.492476,1.72071,0.380465,1.32716,-0.813944,0.566124,1.22388,-1.08955,0.01
0,0.84,0.130765,0.505808,1.71252,0.386104,1.33917,-0.824768,0.561792,1.17943,-1.0752,0.01
0,0.85,0.134654,0.519258,1.70422,0.3917,1.35074,-0.835446,0.557275,1.13419,-1.0604,0.01
0,0.86,0.138599,0.532821,1.69581,0.397249,1.36185,-0.845975,0.552574,1.08818,-1.04517,0.01
0,0.87,0.142599,0.546493,1.6873,0.402751,1.3725,-0.856348,0.547694,1.04142,-1.0295,0.01
0,0.88,0.146654,0.560269,1.67868,0.408202,1.38268,-0.866563,0.542636,0.993943,-1.01341,0.01
0,0.89,0.150763,0.574145,1.66997,0.413603,1.39238,-0.876615,0.537404,0.945762,-0.99691,0.01
0,0.9,0.154926,0.588115,1.66115,0.41895,1.40159,-0.8865,0.532,0.8969,-0.98,0.01
0,0.91,0.159142,0.602175,1.65224,0.424242,1.41031,-0.896214,0.526427,0.84738,-0.96269,0.01
0,0.92,0.163411,0.61632,1.64323,0.429478,1.41854,-0.905752,0.520688,0.797223,-0.944988,0.01
0,0.93,0.167731,0.630544,1.63412,0.434655,1.42626,-0.915112,0.514786,0.746452,-0.9269,0.01
0,0.94,0.172104,0.644843,1.62492,0.439773,1.43347,-0.924289,0.508723,0.695088,-0.908435,0.01
0,0.95,0.176527,0.659212,1.61564,0.444829,1.44016,-0.93328,0.502503,0.643153,-0.889599,0.01
0,0.96,0.181,0.673645,1.60626,0.449823,1.44633,-0.94208,0.496128,0.590669,-0.8704,0.01
0,0.97,0.185523,0.688137,1.5968,0.454751,1.45197,-0.950687,0.489601,0.537657,-0.850846,0.01
0,0.98,0.190095,0.702682,1.58725,0.459614,1.45708,-0.959096,0.482925,0.484141,-0.830943,0.01
0,0.99,0.194715,0.717276,1.57761,0.464409,1.46165,-0.967304,0.476102,0.430141,-0.8107,0.01
0,1,0.199383,0.731914,1.5679,0.469136,1.46568,-0.975309,0.469136,0.375679,-0.790123,0.01
0,1.01,0.204097,0.746588,1.55811,0.473792,1.46916,-0.983106,0.462029,0.320778,-0.769221,0.01
0,1.02,0.208858,0.761295,1.54824,0.478376,1.47209,-0.990692,0.454784,0.265458,-0.748,0.01
0,1.03,0.213665,0.776028,1.5383,0.482887,1.47447,-0.998065,0.447404,0.209743,-0.726468,0.01
0,1.04,0.218516,0.790783,1.52828,0.487324,1.47629,-1.00522,0.439892,0.153654,-0.704632,0.01
0,1.05,0.223411,0.805552,1.51819,0.491684,1.47754,-1.01216,0.43225,0.0972125,-0.6825,0.01
0,1.06,0.228349,0.820331,1.50804,0.495968,1.47823,-1.01887,0.424482,0.0404407,-0.660079,0.01
0,1.07,0.23333,0.835115,1.49782,0.500174,1.47835,-1.02536,0.416589,-0.0166396,-0.637377,0.01
0,1.08,0.238352,0.849897,1.48753,0.5043,1.4779,-1.03162,0.408576,-0.0740064,-0.6144,0.01
0,1.09,0.243416,0.864671,1.47718,0.508345,1.47687,-1.03764,0.400444,-0.131638,-0.591157,0.01
0,1.1,0.248519,0.879432,1.46678,0.512308,1.47526,-1.04344,0.392198,-0.189512,-0.567654,0.01
0,1.11,0.253662,0.894174,1.45632,0.516188,1.47308,-1.049,0.383838,-0.247608,-0.5439,0.01
0,1.12,0.258843,0.908892,1.4458,0.519984,1.47031,-1.05432,0.375369,-0.305902,-0.519901,0.01
0,1.13,0.264061,0.923578,1.43523,0.523695,1.46696,-1.05939,0.366792,-0.364374,-0.495665,0.01
0,1.14,0.269316,0.938229,1.42461,0.52732,1.46302,-1.06423,0.358112,-0.423001,-0.4712,0.01
0,1.15,0.274607,0.952837,1.41395,0.530857,1.4585,-1.06882,0.34933,-0.481761,-0.446512,0.01
0,1.16,0.279933,0.967397,1.40324,0.534306,1.45339,-1.07316,0.34045,-0.540633,-0.42161,0.01
0,1.17,0.285293,0.981903,1.39248,0.537666,1.44769,-1.07725,0.331474,-0.599595,-0.3965,0.01
0,1.18,0.290686,0.996349,1.38169,0.540935,1.44139,-1.08109,0.322405,-0.658625,-0.37119,0.01
0,1.19,0.296111,1.01073,1.37086,0.544114,1.43451,-1.08467,0.313246,-0.7177,-0.345688,0.01
0,1.2,0.301568,1.02504,1.36,0.5472,1.42704,-1.088,0.304,-0.7768,-0.32,0.01
0,1.21,0.307055,1.03927,1.3491,0.550193,1.41898,-1.09107,0.294669,-0.835902,-0.294135,0.01
0,1.22,0.312572,1.05341,1.33818,0.553093,1.41032,-1.09388,0.285257,-0.894984,-0.268099,0.01
0,1.23,0.318117,1.06747,1.32723,0.555898,1.40108,-1.09643,0.275766,-0.954025,-0.2419,0.01
0,1.24,0.323689,1.08143,1.31625,0.558608,1.39124,-1.09872,0.266199,-1.013,-0.215546,0.01
0,1.25,0.329288,1.09529,1.30525,0.561222,1.38082,-1.10074,0.256559,-1.07189,-0.189043,0.01
0,1.26,0.334913,1.10905,1.29424,0.563739,1.3698,-1.1025,0.246848,-1.13068,-0.1624,0.01
0,1.27,0.340563,1.12269,1.28321,0.566159,1.3582,-1.10399,0.23707,-1.18934,-0.135623,0.01
