time,rate_roll,rate_pitch,rate_yaw,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,R11,R12,R13,R21,R22,R23,R31,R32,R33,current,voltage,energy
1738026020.8898103,-0.001068115234375,0.007476806640625,-0.001068115234375,1.42391368496462,-0.3073977634429063,0.5677953050436954,0.0002060658124993,0.0017301867184834,-0.0023368013995241,-0.9991136861436671,0.0027270751895181154,-0.042004823786377744,-0.003923497503002789,-0.9995881732706493,0.028426924293530907,-0.041910002717225656,0.028566534937876552,0.9987129240947498,0.000762939453125,12.28973388671875,9.376322850584984e-05
1738026020.8986745,-0.00213623046875,0.00640869140625,-0.001068115234375,1.4239157462409424,-0.3073804563851613,0.5677719300192958,0.0002060658124993,0.0017301867184834,-0.0023368013995241,-0.9991122963802979,0.0027096230767689063,-0.042038995759527874,-0.003907636900599928,-0.9995878141667816,0.02844173242136721,-0.041944601506520844,0.02858075772364026,0.9987110646690571,0.000762939453125,12.28973388671875,9.376322850584984e-05
1738026020.913881,-0.00213623046875,0.007476806640625,0.0,1.4239178110203836,-0.3073631199142421,0.5677485152692726,0.0002060658124993,0.0017301867184834,-0.0023368013995241,-0.9991109027900685,0.002692140815694323,-0.04207322549844293,-0.0038917498564945492,-0.9995874539629471,0.028456566253283275,-0.041979259272512545,0.02859500406891908,0.9987092006851793,0.000762939453125,12.28973388671875,9.376322850584984e-05
1738026020.9193392,-0.001068115234375,0.008544921875,-0.001068115234375,1.423873791461742,-0.3074725539726864,0.567961852343562,-0.0001150778467351,0.0015101372368691,-0.0017091670581413,-0.9991117762280548,0.0026824080239942665,-0.0420531008323293,-0.003876282611399615,-0.9995909984040566,0.028333908002567455,-0.041959897944797306,0.02847175085543926,0.9987135356886317,0.000762939453125,12.28973388671875,9.376322850584984e-05
1738026020.929113,-0.001068115234375,0.00640869140625,0.0,1.423836442831667,-0.3075592979894097,0.5680036278528438,1.093617835591762e-05,0.0016908514808848,-0.0005827498907786,-0.999132616167987,0.0027311378384554845,-0.04155184948256067,-0.003910580261390576,-0.9995909730828227,0.02833008812825721,-0.041457480282009934,0.02846800691026603,0.9987346243678668,0.000762939453125,12.28973388671875,9.376322850584984e-05
1738026020.9406247,-0.001068115234375,0.00640869140625,-0.001068115234375,1.423829686957762,-0.3075806593981685,0.5679959328587999,-0.0005996098248422,0.0011281872133296,-0.0017697140149861,-0.9991221644447226,0.0027695953315610916,-0.041799878671976175,-0.00395609613156045,-0.9995908163382002,0.028329299245271413,-0.04170431414962229,0.028469795117451725,0.9987242967642671,0.000762939453125,12.2998046875,9.384006261825562e-05
1738026020.9499369,-0.003204345703125,0.007476806640625,0.0,1.423824517721462,-0.3075709332962024,0.5679806761542767,-0.0005996098248422,0.0011281872133296,-0.0017697140149861,-0.9991195562075628,0.0027989575120481456,-0.041860222651684396,-0.003986930676844284,-0.999590871696358,0.02832302252749717,-0.04176382151313359,0.028464979503959306,0.998721947367964,0.000762939453125,12.28973388671875,9.376322850584984e-05
1738026020.9587502,-0.00213623046875,0.005340576171875,-0.001068115234375,1.423818507232578,-0.307559624347576,0.5679629365409905,-0.0005996098248422,0.0011281872133296,-0.0017697140149861,-0.9991165178408422,0.0028330985192414086,-0.041930386718585524,-0.004022782827193628,-0.9995909348863882,0.028315721980584827,-0.04183301323016425,0.028459382385020424,0.9987192110690312,0.000762939453125,12.28973388671875,9.376322850584984e-05
1738026020.9688692,-0.001068115234375,0.007476806640625,-0.00213623046875,1.4238523246418489,-0.3076313108175779,0.5680493168562729,-0.0003850560614492,0.001518825632219,-0.0007778751621527,-0.9991260361242701,0.002723959985609556,-0.04171023831867437,-0.003909111787963228,-0.9995901650471322,0.02835878675254502,-0.04161589580476456,0.02849705218165405,0.9987272076164356,0.000762939453125,12.28973388671875,9.376322850584984e-05
1738026020.9789128,-0.00213623046875,0.00640869140625,-0.001068115234375,1.4238484671502252,-0.3076160952223944,0.5680415241028984,-0.0003850560614492,0.001518825632219,-0.0007778751621527,-0.9991282568608597,0.0027231459383776605,-0.04165706204688752,-0.003906622869517563,-0.999590281460825,0.028355026129843905,-0.04156277950204128,0.028493046261624355,0.99872953379521,0.000762939453125,12.28973388671875,9.376322850584984e-05
